time,temperature,humidity,measured_mass,initial_mass,equilibrium_mass
0,10,40,49.467,49.467,1.195
0,10,65,48.392,48.392,1.444
0,10,85,50.55,50.55,1.865
0,22,40,48.731,48.731,1.466
0,22,65,50.181,50.181,1.54
0,22,85,51.473,51.473,2.492
0,27,40,47.933,47.933,1.011
0,27,65,49.792,49.792,1.249
0,27,85,49.625,49.625,2.047
0.08333333333333333,10,40,47.751,49.467,1.195
0.08333333333333333,10,65,48.074,48.392,1.444
0.08333333333333333,10,85,48.93,50.55,1.865
0.08333333333333333,22,40,46.848,48.731,1.466
0.08333333333333333,22,65,49.285,50.181,1.54
0.08333333333333333,22,85,51.613,51.473,2.492
0.08333333333333333,27,40,44.553,47.933,1.011
0.08333333333333333,27,65,46.856,49.792,1.249
0.08333333333333333,27,85,48.719,49.625,2.047
0.16666666666666666,10,40,46.27,49.467,1.195
0.16666666666666666,10,65,48.079,48.392,1.444
0.16666666666666666,10,85,51.115,50.55,1.865
0.16666666666666666,22,40,45.164,48.731,1.466
0.16666666666666666,22,65,48.474,50.181,1.54
0.16666666666666666,22,85,51.013,51.473,2.492
0.16666666666666666,27,40,43.075,47.933,1.011
0.16666666666666666,27,65,46.328,49.792,1.249
0.16666666666666666,27,85,47.844,49.625,2.047
0.25,10,40,44.82,49.467,1.195
0.25,10,65,47.074,48.392,1.444
0.25,10,85,49.129,50.55,1.865
0.25,22,40,44.442,48.731,1.466
0.25,22,65,47.592,50.181,1.54
0.25,22,85,50.195,51.473,2.492
0.25,27,40,40.244,47.933,1.011
0.25,27,65,45.424,49.792,1.249
0.25,27,85,47.101,49.625,2.047
0.3333333333333333,10,40,43.281,49.467,1.195
0.3333333333333333,10,65,46.188,48.392,1.444
0.3333333333333333,10,85,50.065,50.55,1.865
0.3333333333333333,22,40,41.804,48.731,1.466
0.3333333333333333,22,65,47.023,50.181,1.54
0.3333333333333333,22,85,48.728,51.473,2.492
0.3333333333333333,27,40,38.373,47.933,1.011
0.3333333333333333,27,65,43.962,49.792,1.249
0.3333333333333333,27,85,45.625,49.625,2.047
0.4166666666666667,10,40,42.069,49.467,1.195
0.4166666666666667,10,65,45.294,48.392,1.444
0.4166666666666667,10,85,48.245,50.55,1.865
0.4166666666666667,22,40,40.572,48.731,1.466
0.4166666666666667,22,65,46.255,50.181,1.54
0.4166666666666667,22,85,48.006,51.473,2.492
0.4166666666666667,27,40,36.057,47.933,1.011
0.4166666666666667,27,65,42.427,49.792,1.249
0.4166666666666667,27,85,45.851,49.625,2.047
0.5,10,40,40.891,49.467,1.195
0.5,10,65,44.74,48.392,1.444
0.5,10,85,48.25,50.55,1.865
0.5,22,40,38.085,48.731,1.466
0.5,22,65,45.117,50.181,1.54
0.5,22,85,47.674,51.473,2.492
0.5,27,40,33.92,47.933,1.011
0.5,27,65,41.051,49.792,1.249
0.5,27,85,45.126,49.625,2.047
0.5833333333333334,10,40,39.607,49.467,1.195
0.5833333333333334,10,65,44.925,48.392,1.444
0.5833333333333334,10,85,48.368,50.55,1.865
0.5833333333333334,22,40,37.784,48.731,1.466
0.5833333333333334,22,65,44.695,50.181,1.54
0.5833333333333334,22,85,47.382,51.473,2.492
0.5833333333333334,27,40,31.947,47.933,1.011
0.5833333333333334,27,65,40.125,49.792,1.249
0.5833333333333334,27,85,44.149,49.625,2.047
0.6666666666666666,10,40,38.479,49.467,1.195
0.6666666666666666,10,65,43.152,48.392,1.444
0.6666666666666666,10,85,47.71,50.55,1.865
0.6666666666666666,22,40,35.564,48.731,1.466
0.6666666666666666,22,65,43.021,50.181,1.54
0.6666666666666666,22,85,46.468,51.473,2.492
0.6666666666666666,27,40,29.234,47.933,1.011
0.6666666666666666,27,65,38.061,49.792,1.249
0.6666666666666666,27,85,43.749,49.625,2.047
0.75,10,40,36.853,49.467,1.195
0.75,10,65,42.873,48.392,1.444
0.75,10,85,46.955,50.55,1.865
0.75,22,40,33.51,48.731,1.466
0.75,22,65,42.173,50.181,1.54
0.75,22,85,45.574,51.473,2.492
0.75,27,40,28.142,47.933,1.011
0.75,27,65,36.293,49.792,1.249
0.75,27,85,43.498,49.625,2.047
0.8333333333333334,10,40,35.17,49.467,1.195
0.8333333333333334,10,65,41.838,48.392,1.444
0.8333333333333334,10,85,47.366,50.55,1.865
0.8333333333333334,22,40,33.29,48.731,1.466
0.8333333333333334,22,65,41.379,50.181,1.54
0.8333333333333334,22,85,45.747,51.473,2.492
0.8333333333333334,27,40,25.2,47.933,1.011
0.8333333333333334,27,65,35.219,49.792,1.249
0.8333333333333334,27,85,42.516,49.625,2.047
0.9166666666666666,10,40,34.448,49.467,1.195
0.9166666666666666,10,65,40.547,48.392,1.444
0.9166666666666666,10,85,46.939,50.55,1.865
0.9166666666666666,22,40,30.86,48.731,1.466
0.9166666666666666,22,65,40.796,50.181,1.54
0.9166666666666666,22,85,43.862,51.473,2.492
0.9166666666666666,27,40,22.732,47.933,1.011
0.9166666666666666,27,65,33.89,49.792,1.249
0.9166666666666666,27,85,41.71,49.625,2.047
1,10,40,33.281,49.467,1.195
1,10,65,39.812,48.392,1.444
1,10,85,46.547,50.55,1.865
1,22,40,29.453,48.731,1.466
1,22,65,39.496,50.181,1.54
1,22,85,43.968,51.473,2.492
1,27,40,20.965,47.933,1.011
1,27,65,33.072,49.792,1.249
1,27,85,41.092,49.625,2.047
1.0833333333333333,10,40,32.032,49.467,1.195
1.0833333333333333,10,65,39.523,48.392,1.444
1.0833333333333333,10,85,46.274,50.55,1.865
1.0833333333333333,22,40,28.194,48.731,1.466
1.0833333333333333,22,65,38.785,50.181,1.54
1.0833333333333333,22,85,42.566,51.473,2.492
1.0833333333333333,27,40,19.801,47.933,1.011
1.0833333333333333,27,65,31.572,49.792,1.249
1.0833333333333333,27,85,40.621,49.625,2.047
1.1666666666666667,10,40,30.834,49.467,1.195
1.1666666666666667,10,65,39.474,48.392,1.444
1.1666666666666667,10,85,46.004,50.55,1.865
1.1666666666666667,22,40,25.609,48.731,1.466
1.1666666666666667,22,65,36.157,50.181,1.54
