time/min,mass-40,mass-65,mass-85,mass-40,mass-65,mass-85,mass-40,mass-65,mass-85
0,49.467,48.392,50.55,48.731,50.181,51.473,47.933,49.792,49.625
5,47.751,48.074,48.93,46.848,49.285,51.613,44.553,46.856,48.719
10,46.27,48.079,51.115,45.164,48.474,51.013,43.075,46.328,47.844
15,44.82,47.074,49.129,44.442,47.592,50.195,40.244,45.424,47.101
20,43.281,46.188,50.065,41.804,47.023,48.728,38.373,43.962,45.625
25,42.069,45.294,48.245,40.572,46.255,48.006,36.057,42.427,45.851
30,40.891,44.74,48.25,38.085,45.117,47.674,33.92,41.051,45.126
35,39.607,44.925,48.368,37.784,44.695,47.382,31.947,40.125,44.149
40,38.479,43.152,47.71,35.564,43.021,46.468,29.234,38.061,43.749
45,36.853,42.873,46.955,33.51,42.173,45.574,28.142,36.293,43.498
50,35.17,41.838,47.366,33.29,41.379,45.747,25.2,35.219,42.516
55,34.448,40.547,46.939,30.86,40.796,43.862,22.732,33.89,41.71
60,33.281,39.812,46.547,29.453,39.496,43.968,20.965,33.072,41.092
65,32.032,39.523,46.274,28.194,38.785,42.566,19.801,31.572,40.621
70,30.834,39.474,46.004,25.609,36.157,42.104,17.013,29.907,39.394
75,29.375,38.466,45.749,24.131,35.898,41.219,15.918,28.012,38.544
80,28.385,38.206,45.789,22.552,34.864,41.303,13.073,27.067,37.716
85,27.186,37.81,45.728,21.171,35.718,40.885,11.368,26.961,37.251
90,25.815,36.653,44.503,19.085,33.593,38.804,9.396,25.274,36.403
95,24.918,35.807,44.683,18.474,31.754,39.215,7.141,24.239,35.76
100,23.729,35.733,44.153,16.105,31.26,38.946,5.973,22.79,35.192
105,22.621,34.5,44.319,14.808,30.444,37.942,3.894,21.609,34.769
110,21.773,34.831,42.962,14.509,29.615,37.508,2.365,20.054,33.785
115,20.537,33.962,44.551,12.466,27.491,37.266,1.332,18.626,33.291
120,19.525,33.21,42.751,10.592,27.387,36.743,-0.043,17.624,32.22
125,18.77,32.952,43.033,8.821,27.281,36.022,-2.173,16.084,31.618
