study_doi;study_author_1;study_year;study_journal;virus_family;virus;strain;material;medium;medium_group;medium_include;medium_volume;medium_container;sealed;virus_concentration_initial;temperature_raw;temperature;humidity_raw;humidity;time;value;value_raw;error_low;error_up;estimate;error;sample_size;unit;LOD;titration_unit;comment_data;source;comment_study
10.1007/s00430-004-0219-0;Rabenau;2005;Medical Microbiology and Immunology;Coronavirus;SARS-CoV-1;SARS-CoV-1_FFM-1;Bulk medium;MEM + antibiotics;CCM;TRUE;Unspecified;Unspecified;Unspecified;7.18 +/- 0.37 log10TCID50/mL;4;4;NA;NA;0;7.18;7.18;6.81;7.55;mean?;standard_deviation?;3;log10TCID50/mL;1.8 log10TCID50/mL;TCID50;NA;Table 1;also report data on the effect of protein supplementation, on other viruses but under only one condition and using other treatments
10.1007/s00430-004-0219-0;Rabenau;2005;Medical Microbiology and Immunology;Coronavirus;SARS-CoV-1;SARS-CoV-1_FFM-1;Bulk medium;MEM + antibiotics;CCM;TRUE;Unspecified;Unspecified;Unspecified;7.18 +/- 0.37 log10TCID50/mL;4;4;NA;NA;0.5;6.68;6.68;6.27;7.09;mean?;standard_deviation?;3;log10TCID50/mL;1.8 log10TCID50/mL;TCID50;NA;Table 1;also report data on the effect of protein supplementation, on other viruses but under only one condition and using other treatments
10.1007/s00430-004-0219-0;Rabenau;2005;Medical Microbiology and Immunology;Coronavirus;SARS-CoV-1;SARS-CoV-1_FFM-1;Bulk medium;MEM + antibiotics;CCM;TRUE;Unspecified;Unspecified;Unspecified;7.18 +/- 0.37 log10TCID50/mL;56;56;NA;NA;0;7.18;7.18;6.81;7.55;mean?;standard_deviation?;3;log10TCID50/mL;1.8 log10TCID50/mL;TCID50;NA;Table 1;also report data on the effect of protein supplementation, on other viruses but under only one condition and using other treatments
10.1007/s00430-004-0219-0;Rabenau;2005;Medical Microbiology and Immunology;Coronavirus;SARS-CoV-1;SARS-CoV-1_FFM-1;Bulk medium;MEM + antibiotics;CCM;TRUE;Unspecified;Unspecified;Unspecified;7.18 +/- 0.37 log10TCID50/mL;56;56;NA;NA;0.5;<LOD;1.8;NA;NA;mean?;standard_deviation?;3;log10TCID50/mL;1.8 log10TCID50/mL;TCID50;NA;Table 1;also report data on the effect of protein supplementation, on other viruses but under only one condition and using other treatments
10.1007/s00430-004-0219-0;Rabenau;2005;Medical Microbiology and Immunology;Coronavirus;SARS-CoV-1;SARS-CoV-1_FFM-1;Bulk medium;MEM + antibiotics;CCM;TRUE;Unspecified;Unspecified;Unspecified;7.18 +/- 0.37 log10TCID50/mL;60;60;NA;NA;0;7.18;7.18;6.81;7.55;mean?;standard_deviation?;3;log10TCID50/mL;1.8 log10TCID50/mL;TCID50;NA;Table 1;also report data on the effect of protein supplementation, on other viruses but under only one condition and using other treatments
10.1007/s00430-004-0219-0;Rabenau;2005;Medical Microbiology and Immunology;Coronavirus;SARS-CoV-1;SARS-CoV-1_FFM-1;Bulk medium;MEM + antibiotics;CCM;TRUE;Unspecified;Unspecified;Unspecified;7.18 +/- 0.37 log10TCID50/mL;60;60;NA;NA;0.5;<LOD;1.8;NA;NA;mean?;standard_deviation?;3;log10TCID50/mL;1.8 log10TCID50/mL;TCID50;NA;Table 1;also report data on the effect of protein supplementation, on other viruses but under only one condition and using other treatments
10.1007/s12560-008-9001-6;Gundy;2008;Food and Environmental Virology;Coronavirus;FIPV;FIPV_WSU79-1146;Bulk medium;Water + PBS;Water;FALSE;30000;Vial (unspecified volume or material);Unspecified;5 log10TCID50/mL;4;4;NA;NA;0;0;0;-0.199;-0.199;mean;standard_deviation?;3;log10Nt/N0;3.7 TCID50/mL;TCID50;dechlorinated tap water, pH = 7.8;Figure 2;also report poliovirus data
10.1007/s12560-008-9001-6;Gundy;2008;Food and Environmental Virology;Coronavirus;FIPV;FIPV_WSU79-1146;Bulk medium;Water + PBS;Water;FALSE;30000;Vial (unspecified volume or material);Unspecified;5 log10TCID50/mL;4;4;NA;NA;24;0.332;0.332;-0.433;0.49;mean;standard_deviation?;3;log10Nt/N0;3.7 TCID50/mL;TCID50;dechlorinated tap water, pH = 7.8;Figure 2;also report poliovirus data
10.1007/s12560-008-9001-6;Gundy;2008;Food and Environmental Virology;Coronavirus;FIPV;FIPV_WSU79-1146;Bulk medium;Water + PBS;Water;FALSE;30000;Vial (unspecified volume or material);Unspecified;5 log10TCID50/mL;4;4;NA;NA;72;-0.633;-0.633;-0.805;-0.047;mean;standard_deviation?;3;log10Nt/N0;3.7 TCID50/mL;TCID50;dechlorinated tap water, pH = 7.8;Figure 2;also report poliovirus data
10.1007/s12560-008-9001-6;Gundy;2008;Food and Environmental Virology;Coronavirus;FIPV;FIPV_WSU79-1146;Bulk medium;Water + PBS;Water;FALSE;30000;Vial (unspecified volume or material);Unspecified;5 log10TCID50/mL;4;4;NA;NA;144;-0.254;-0.254;-0.674;0.318;mean;standard_deviation?;3;log10Nt/N0;3.7 TCID50/mL;TCID50;dechlorinated tap water, pH = 7.8;Figure 2;also report poliovirus data
